,religion,pf_religion,pf_religion_estop,pf_religion_harassment,pf_religion_restrictions
0,animism,8.261666667,6.017605,9.351111111,7.172222222000001
1,buddhism,7.567479100728695,6.267668437195743,8.249377635217751,7.4913062740495455
2,christianity,8.119227612062083,8.616082654831681,8.747090111413428,7.013462854398087
3,hinduism,8.397706885013104,9.99825463803705,9.375388983156848,5.819477033868132
4,islam,6.492882688503089,4.732706344081066,7.7376472673350705,6.923429517885017
5,judaism,9.653703704,10.0,9.333333332999999,9.627777777999999
6,noreligion,9.12037037,10.0,9.444444444,7.916666667
7,shinto,7.827407407000001,5.833333333,8.76,8.888888889
8,syncretism,5.429006125963705,0.11790502237097712,8.489045349259474,7.680068005244017
9,total_avg,7.211640260238617,6.017605260360807,8.590692466147422,6.968090626619675
